Description,Sentiment
,
very bad taste and rotten product received,
,
yes the dip provided at night is expired product which has been given by wow momo which is very unfortunate,
,
Taste was awesome,
,
please give refund or momos,
,
packaging issue didn't expect from wow momo. No cutlery and tissue,
,
over spicy,
,
I ordered their Chicken Darjeeling Steam Momo.it is so tasty.their food quality is incredible.thanks.????????,
,
Tibetan and Chinese items are the best. Love to eat from here all the time...,
,
"Last Saturday I ordered Chicken Pan Fried Momo from this restaurant, taste of this Chicken Pan Fried Momo was just awesome??????.. ",
,
Their chicken pan fried momo is so tasty their food quality is nice and incredible.i am very happy with their food.,
,
very bad taste and rotten product received,
,
it's not hot at all...,
,
very good delivery boy ?? thanks ??????,
,
"Though the momos were tasty, they were very cold though my place is just 1 km away from the joint",
,
I am a frequent customer at this outlet... did't expect this to happen,
,
Great experience at here.Give order three plate corn cheese fride momo test is excellent.keep it up team.good going ??????,
,
the package that  delivered was soggy and spilling out i want a refund,
,
"Nice ??.......  . . . ............,............????????????????????????..................................",
,
too good????,
,
nice,
,
please provide some sauce for momos,
,
Awesome Taste !.......???????? pan fried Taste is sooooooooooo gooooooood...............????????????,
,
Awesome,
,
Good,
,
it was super delayed,
,
Awesome Taste !.......???????? pan fried Taste is sooooooooooo gooooooood...............????????????,
,
Good,
,
Awesome,
,
pls give  fresh momo,
,
it was super delayed,
,
very good,
,
very good,
,
Not hot taste is so average,
,
The hakka noodles and Schwan noddles is delicious and the quality and quantity was good Dilvery on time safe and hygiene also very good .,
,
The exotic chilli momo and  chicken Thukpa was good and service was good the contain of food was good the quality and quantity was good dilvery was good.,
,
Poor packing and spilling,
,
Great test,
,
Amazing it tastes ?? momos was streamed perfectly! And the stuffing inside the burger was just finger licking good ??. Can't wait to order it again!,
,
items missing every time,
,
bad experience... souce is smelling,
,
packing could be better,
,
Na,
,
horrible experience..they took a hell a lot of time to prepare and deliver....,
,
"The last time I had chocolate momos it was really good, had molten chocolate inside it not just Brownie. The quality has went so low, it was just filled with Brownie. ",
,
not so gud but still ok,
,
Don't forget to ?? give momos sauce,
,
There is undue delay in delivery. we suffered hungry. Horrible experience with this order,
,
good taste,
,
worst taste. I don't know what happened to their authentic taste,
,
Taste was good but the quantity was very less,
,
good job,
,
it's delicious ????,
,
Poor packing and spilling,
,
The exotic chilli momo and  chicken Thukpa was good and service was good the contain of food was good the quality and quantity was good dilvery was good.,
,
The hakka noodles and Schwan noddles is delicious and the quality and quantity was good Dilvery on time safe and hygiene also very good .,
,
Not hot taste is so average,
,
Great test,
,
it's delicious ????,
,
could be better in taste,
,
momos were all torn apart .. chutney taste wasn't good,
,
Horrible packing. Sauce was dripping from the packet. Also something wrong with chicken. Stomach infection after eating,
,
Wow Momo items in all was Absolutely Amazing.  ??,
,
basi momos dete hai,
,
momos were perfect but the sauce was extremely spicy,
,
it was not hot and very cold and it was momo was not like momo and a lot of momo was kacha,
,
fillings of momos came out,
,
Prominent,
,
packing was not good...gravy spilt outside.,
,
Received only 5 momos instead of 6,
,
nice ??,
,
worst restaurant,
,
"Excellent....................................................... ..........,..............................",
,
it was uncooked..,
,
i wamt a full refund.. i am notat all happy with the product.. the momos were not fried only coated with sauce..,
,
I ordered for cheese momos but received schezwan momos,
,
it was not hot and very cold and it was momo was not like momo and a lot of momo was kacha,
,
packing was not good...gravy spilt outside.,
,
Prominent,
,
fillings of momos came out,
,
momos were perfect but the sauce was extremely spicy,
,
basi momos dete hai,
,
Wow Momo items in all was Absolutely Amazing.  ??,
,
Horrible packing. Sauce was dripping from the packet. Also something wrong with chicken. Stomach infection after eating,
,
i wamt a full refund.. i am notat all happy with the product.. the momos were not fried only coated with sauce..,
,
The combo consisted of two soft drinks . But it was missing .,
,
they named veg as non veg and it was confusing,
,
they named veg as non veg and it was confusing,
,
The combo consisted of two soft drinks . But it was missing .,
,
Packaging needs to be improved as all the momos were stuck to each other inside the box,
,
taste has to improve a lot ...momos were stale,
,
"ordered chicken tandoori momo and it tasted disgusting and it was raw and tasted really bad, i had to throw it away.",
,
all time favourite momo,
,
taste has to improve a lot ...momos were stale,
,
good quality and quantity,
,
bad experience,
,
There was no dip given that I ordered. They cheated me with the money I paid for the dip. ??,
,
??,
,
There was no dip given that I ordered. They cheated me with the money I paid for the dip. ??,
,
bad experience,
,
"ordered chicken tandoori momo and it tasted disgusting and it was raw and tasted really bad, i had to throw it away.",
,
I ordered for cheese momos but received schezwan momos,
,
the bread of burger is not good,
,
good,
,
Burger should be more juicy,
,
very good taste good product ????????????????,
,
Overall experience is good,
,
Momo test is messy and bad too,
,
Yummmy......!...??????????????....Crispy Fried Momo.....Good Dish...??????????????????????......????????????,
,
good,
,
good quality and quantity,
,
all time favourite momo,
,
nice ??,
,
the momos were broken and the chicken was coming out of it. I am totally disappointed,
,
just awesome,
,
ordered steam momos but received pan fried momos,
,
delivery boy also very good and polite behavior,
,
great test,
,
Momo test is messy and bad too,
,
very good taste good product ????????????????,
,
Overall experience is good,
,
cheese not good,
,
drinks are not at cold plz see to it,
,
the bread of burger is not good,
,
good,
,
Burger should be more juicy,
,
Packaging needs to be improved as all the momos were stuck to each other inside the box,
,
??,
,
cheese not good,
,
the momos were broken and the chicken was coming out of it. I am totally disappointed,
,
great test,
,
ordered steam momos but received pan fried momos,
,
just awesome,
,
nice ??,
,
delivery boy also very good and polite behavior,
,
good,
,
Yummmy......!...??????????????....Crispy Fried Momo.....Good Dish...??????????????????????......????????????,
,
Darjeeling momo and one burger and one Pepsi was Missing,
,
pepsi missing,
,
I ordered 1 hakka noodles with chilly chicken i received noodles with paneer and other item i ordered was chicken darjeeling steam momos instead of this i received some Manchurian rice combo. I received all veg order not happy with this blunder.,
,
It's completely burnt inside,
,
I have received the combo of 8pc pan fried momo 2 moburg and 2 pepsi,
,
"Issue created by swetha.d09_cb@external.swiggy.in on Mar 12, 2022, 06:43 PM",
,
"Issue created by hari.prasad2_cb@external.swiggy.in on Mar 7, 2022, 03:34 AM",
,
"Issue created by pritam.1_dit@external.swiggy.in on Mar 7, 2022, 03:59 PM",
,
"Issue created by pragati.pathak@swiggy.in on Mar 8, 2022, 05:54 PM",
,
Order one plus one order provided only one item veg momo <br/>,
,
I added a combo i which i received only the burger and pepsi my momo is missing,
,
"Issue created by rizwan.muhammed_cb@external.swiggy.in on Mar 12, 2022, 09:52 PM",
,
Food doesn't satisfy the standard of the franchise. It's too spicy and sweet,
,
"Issue created by sagar.kumar23_pr@external.swiggy.in on Mar 13, 2022, 05:10 PM",
,
I have ordered three and billed for three veg moburg but received only one,
,
Momos are burned and we not able to eat,
,
Chicken inside was stinking in the momos and it was not fresh too,
,
Please replace with a veg one,
,
Sauce were coming out,
,
Cold drink missing<br/>,
,
Not packed properly and spilled all over,
,
"Has received both the orders as pan fried. Both the orders are pan fried, I had ordered 1 pan fried and 1 fried.",
,
"Issue created by jram.goud_cb@external.swiggy.in on Mar 11, 2022, 08:20 PM",
,
Hello ordered 3 items  but out of 3 two is only delivered,
,
Sauce was spilt all over..soggy momos,
,
Food quality is not soo good,
,
Spiller and crushed,
,
"only 7 momos received in total, instead of 10",
,
The momo is not at all hot,
,
Food is fully out of the box . Tissues where full of oil. Burger box was almost smashed. M i a begger having food laying down. This is the second instance m facing with swiggy food delivery,
,
Received less quantity than ordered,
,
Items missing,
,
The momos were stale,
,
They gave me mayonnaise instead of cheesy dip.,
,
"Issue created by kajal.gaur_dit@external.swiggy.in on Mar 12, 2022, 03:37 PM",
,
I didn't received mayo in my order.<br/>Plz refund my amount related to,
,
Received veg momo instead of chicken momo,
,
Properly not cooked and to cool dispointed,
,
I have ordered cheese chicken fried<br/>But i received chicken fried.<br/>,
,
Chilli momos and moburg is missing<br/>,
,
Chicken momo missing,
,
I orderd panner  pan momo buy 1 get 1 free but I received only one pac of 5 . Free item not reviewed.  O paid rs.278.tbis us too much  rate,
,
Stale food received,
,
I received only one momo pack of 5.<br/>I have ordered combo momo pack of two.,
,
I haven't received proper food,
,
I order non veg but it came veg ?,
,
"Issue created by apurva.bala_dgt@external.swiggy.in on Mar 12, 2022, 02:25 PM",
,
"The entire package for spilled am unable to eat anything and there are no dips, only the boxes and that too got scattered",
,
I have ordered for chicken darjiling but revived veg momo,
,
They didn't send moburg,
,
Instead of 10 momos I have received only 8,
,
2 moburgs were expected but we received only 1,
,
Chutney and sauce was not given!,
,
The steam momo weren't delivered,
,
It was not packaged properly and also the cold drinks was hot.,
,
Item is missing from the received order,
,
Found insect inside the soup,
,
Billed 4 items.Got 3,
,
i order normal chicken steam momos and got Darjeeling momo instead,
,
Dip is Missing. No meo or anything has been provided,
,
Received 1 veg 1 non veg instead of 2 non veg,
,
Adding for both my order are missing. 8 chocolate momos in total,
,
It was too spicy & quality was not upto the mark as expected,
,
All momos are open!! Cannot even eat. Highly disappointed,
,
I didn't get my pepsi cans,
,
No Dips were available for both items,
,
"Issue created by muskan.9_ldh_kt@external.swiggy.in on Mar 8, 2022, 09:19 PM",
,
All food is spill,
,
There is only one burger,
,
Repeated same corn and cheese instead of paneer momo,
,
- The chicken momos were only 5 pieces but they mentioned 10 pieces,
,
The 2 bottles of coke are missing,
,
"Issue created by vivek.saini_dit@external.swiggy.in on Mar 8, 2022, 08:17 PM",
,
2 moburgs were expected but we received only 1,
,
8 pieces of momos are missing in the order,
,
"Issue created by vivek.4_sb@external.swiggy.in on Mar 12, 2022, 10:01 PM",
,
"Issue created by samiksha.sharma_kt@external.swiggy.in on Mar 13, 2022, 09:10 PM",
,
Items are spilled,
,
Momos are uncooked and even cold ...the food was delivered before time then also it is so cold and uncooked ..i have sent pictures where momo filling is coming out and momos are torn,
,
I ordered two iced tea but received only 1,
,
"Issue created by dipankar.saha_kt@external.swiggy.in on Mar 8, 2022, 07:16 PM",
,
I have ordered veg but received non veg items,
,
"I used code boho which is buy 1 get 1 free and I ordered 2 sets of momos but i shud have got 4 sets , but i received oly 2",
,
"Issue created by abhishek.7.ldh_kt@external.swiggy.in on Mar 12, 2022, 07:45 PM",
,
Complete veg order is missing,
,
Total order spills over the package and damaged completely<br/>,
,
No cutlery and not cheese,
,
I got normal veg momos instead of corn and cheese momos.,
,
2 pepsi not received,
,
Food is giving baad odour,
,
We requested for additional sauce and that is not provided,
,
"Only one burger, Pepsi bottle, choco momo is delivered.. two Pepsi bottle, 3corn and cheese steamed momos and 2 veg burger is missing",
,
I got only one..but I have ordered 2,
,
only one Pepsi,
,
I only got 1 combo and the other one is missing,
,
Momos are 6 pcs,
,
I had specially mentioned NON SPICY but I was given a very spicy meal that I could not even consume<br/>,
,
"Issue created by sayyed.naved_nsb@external.swiggy.in on Mar 12, 2022, 09:05 PM",
,
Great my experience for wow momo and paneer steem with lajavab test.keep it up . enjoyed service here.focus on the same team,
,
good service,
,
I want the refund back.,
,
spicy??,
,
The momos were slightly oversteamed,
,
I always ordered n y this time like this,
,
I want the refund back.,
,
I always ordered n y this time like this,
,
The momos were slightly oversteamed,
,
spicy??,
,
Great my experience for wow momo and paneer steem with lajavab test.keep it up . enjoyed service here.focus on the same team,
,
good service,
,
drinks are not at cold plz see to it,
,
No the once had in Delhi,
,
Dissatisfied with the taste of the food and the packaging it was delivered in,
,
"5 star review veggie steam mono very testy and fresh food and fast service .........................,.",
,
wow momos are degrading their quality everyday,
,
one packet was open,
,
Delivery boy behaviour also very good,
,
the momos were too spicy,
,
aweful experience,
,
the momos were too spicy,
,
Dissatisfied with the taste of the food and the packaging it was delivered in,
,
wow momos are degrading their quality everyday,
,
one packet was open,
,
No the once had in Delhi,
,
Delivery boy behaviour also very good,
,
Wonder service by the delivery boy who came,
,
From next tym do send mayonies with momos,
,
tast wow,
,
fantastic,
,
very bad,
,
fantastic,
,
tast wow,
,
Wonder service by the delivery boy who came,
,
Missing item,
,
good,
,
overall very good,
,
??,
,
I did order corn cheese fried mom with asowme test .Serv by garma garam momo. I have first time order .really happy service,
,
"Graeat exprerince at herepaneer steem momo test excellent,keep it team thanks for good service,Do focus on the same",
,
delivery person behavior is awesome.,
,
very tasty ????,
,
sour taste of old stock,
,
good,
,
Yummy,
,
Food is extremely cold. It was also delivered very late,
,
I never expected this from wow momo. The bread was all burnt. The stuffings inside the momo was good and fresh even the drink i liked twitch.,
,
order delayed,
,
fully vestige for money for this item,
,
"I enjoy the food, my daughter loved the food, Very good ??",
,
fully vestige for money for this item,
,
"I enjoy the food, my daughter loved the food, Very good ??",
,
order delayed,
,
Food is extremely cold. It was also delivered very late,
,
I never expected this from wow momo. The bread was all burnt. The stuffings inside the momo was good and fresh even the drink i liked twitch.,
,
Yummy,
,
good,
,
sour taste of old stock,
,
very tasty ????,
,
overall very good,
,
??,
,
good,
,
Missing item,
,
delivery person behavior is awesome.,
,
"Graeat exprerince at herepaneer steem momo test excellent,keep it team thanks for good service,Do focus on the same",
,
I did order corn cheese fried mom with asowme test .Serv by garma garam momo. I have first time order .really happy service,
,
very bad,
,
From next tym do send mayonies with momos,
,
aweful experience,
,
Delivery is awesome ??,
,
osm,
,
i was expecting a good moburg but got literally a cold and not so fresh burger,
,
delivery boy attitude is very excellent,
,
The fried momo were spicy ??,
,
veryyyy nice tasteee,
,
On time and best hospitality by delivery man,
,
"despite send curtlery option was highlighted, it was not sent, highly unprofessional behaviour of wow momo as well as zomato.... pathetic",
,
On time and best hospitality by delivery man,
,
veryyyy nice tasteee,
,
The fried momo were spicy ??,
,
"despite send curtlery option was highlighted, it was not sent, highly unprofessional behaviour of wow momo as well as zomato.... pathetic",
,
delivery boy attitude is very excellent,
,
i was expecting a good moburg but got literally a cold and not so fresh burger,
,
osm,
,
Delivery is awesome ??,
,
The food is very spicy and is hard to consume,
,
Non veg momos in place of veg momos..this kind of behaviour is not at all tolerable. By paying 500rs we are getting 200 rs item...,
,
Did not receive Pepsi,
,
Momos are broken,
,
Didn't receive,
,
Item is different and please refund,
,
Entire order was open and spilled when it came. And it wasn't even covered. What is this ?? Tastes so bad,
,
I haven't received any sauce or dip for both momos veg fried momos and Darjeeling chicken fried momos,
,
This looks like chicken Schezwan momo. I didn't even order it,
,
"Issue created by vikrant.sharma_tm@external.swiggy.in on Mar 17, 2022, 01:39 PM",
,
Coke cans are missing,
,
Mayo dip was missing in my order,
,
Momos are burnt,
,
Food became soggy,
,
I ordered for fried however it is steamed momos,
,
There are no veggies in the noodles,
,
Found hair in my food,
,
"Issue created by sarita.3_dit@external.swiggy.in on Mar 14, 2022, 10:10 AM",
,
What is that??,
,
"Issue created by gajera.arjun_tm@external.swiggy.in on Mar 19, 2022, 07:58 AM",
,
I have not received coffee mocha,
,
Only one set of momo delivered...,
,
The red chutney was tasting wierd and sour,
,
Momos were broken,
,
Ordered veg received non veg,
,
"Everything was broken in the package, the momos were all spilled inside the box and broken( momos don't break)",
,
The entire order is wrong. All item are veg instead of chicken. Dint receive the moburg. Only 3 boxes of 5 peice veg momos. The order belonged to Kinjal not me,
,
"I order this quite frequently, but this time the taste is completely different. The paneer tastes wierd. Vegetables in fried rice too don't seem to be fresh .",
,
Two dishes and they give only one sechwan sauce how are we suppose to eat,
,
Momos are under cooked and cool drinks are hot,
,
Missing items,
,
The packaging was torn and we didn't get one of the chutney,
,
I received darjeeling steam momo instead of normal chicken steam momo,
,
"Issue created by sai.299203_cb@external.swiggy.in on Mar 17, 2022, 10:41 AM",
,
Momos are already broken...and not properly sealed,
,
the burger was missing from the order,
,
Different item received,
,
"Issue created by jayeeta.das1_kt@external.swiggy.in on Mar 20, 2022, 01:32 PM",
,
cold food,
,
MY ORDER IS NOT COMPLETE DELEVER,
,
"No mushrooms, got capsicum and broccoli",
,
I need refund,
,
"Issue created by nishant.pal_bpoc@external.swiggy.in on Mar 20, 2022, 10:07 AM",
,
Qaulity of food is not good and food was stale,
,
Did not receive buy 1 get 1 monos<br/>Got only 1 box,
,
"Issue created by anil.thakur_31p@external.swiggy.in on Mar 14, 2022, 05:17 PM",
,
"Issue created by prerana.c_kol_kt@external.swiggy.in on Mar 20, 2022, 03:36 PM",
,
The food smelt and tasted stalem. Had to throw most of it away,
,
"Issue created by rita.bisht_dit@external.swiggy.in on Mar 18, 2022, 03:24 PM",
,
Stale and cold,
,
I have ordered veg moburg but received non veg moburg.,
,
Missing Moburg 2 pcs in the combo added,
,
Schezwan chutney is stale and seems expired as taste and smell is fermented.... Can't eat,
,
I did not receive the drink with the order,
,
"Momos are deeply burnt, not fit for intake",
,
No chutney,
,
"Issue created by shubham.shekhar_ig@external.swiggy.in on Mar 19, 2022, 03:36 PM",
,
"Issue created by virender.singh1_cb@external.swiggy.in on Mar 16, 2022, 02:52 PM",
,
The momos were uncooked and foul tasting sauce spilled all over momos with poor taste,
,
No sauces were deliver with the momos,
,
"Issue created by sahil.dhawan_tm@external.swiggy.in on Mar 19, 2022, 07:06 PM",
,
Food was uncooked and it did not have gravy. Being a loyal customer of swiggy for a long time and the restaurant this is not at all acceptable. I know how exactly it should have tasted but it is not even 1% near it.,
,
"The offer was buy 1 and get 1, however just recived 2 boxes",
,
"Issue created by goma.devi_pr@external.swiggy.in on Mar 17, 2022, 12:43 PM",
,
Only the cirn cheese was delivered,
,
There is no point in drinking a caffeine based drink without refrigerated  It just tastes like sweet water,
,
I ordered veg fried rice with chicken Manchurian but received veg fried rice with veg Manchurian,
,
No sauces provided along momos,
,
It hass toooo toooo much of salt.... not able to eat,
,
After taste.  Goot food uncooked proper taste,
,
Received fried momos but ordered steamed momos,
,
"Issue created by dasari.aravind_cb@external.swiggy.in on Mar 16, 2022, 11:30 AM",
,
Momos chutney was spoiled.. it smells dirty.,
,
"Issue created by mohammad.anas1_dit@external.swiggy.in on Mar 14, 2022, 06:21 PM",
,
"Issue created by shraddha.goud_nsb@external.swiggy.in on Mar 15, 2022, 02:06 PM",
,
Cold momos delivered.. Delivery guy was having multi order.. He was waiting at another restaurant carrying my order... This is really bad... This item can't be eaten cold.. Even i told him this is cold..,
,
Two Pepsi bottles are missing,
,
I have ordered 2 darjeeling steqmed momo and swiggy gave one free. And it was costing Rs 174. But I havr receivef 2 packets of momo and the bill amount is 145.Eityer u give my money or s3nd one packet of momo. It is a shame that swiggy is doing lyk t,
,
"Issue created by anwar.miyan_bpoc@external.swiggy.in on Mar 17, 2022, 04:56 PM",
,
Hello I recived only 1 burger and and 1 Pepsi of 250 ml in that offer they have to send 2 moburger and chicken Darjeeling pan fried momos and 2 Pepsi 250 ml,
,
I ordered other one <br/>They delivered wrong one,
,
The green apple is missing,
,
"Issue created by fouzia.296505_cb@external.swiggy.in on Mar 16, 2022, 04:07 PM",
,
Missing my order,
,
Chocolate momos weren?t given,
,
"Issue created by saurav.uday_tm@external.swiggy.in on Mar 19, 2022, 02:03 PM",
,
the sause missing,
,
"Issue created by sneha.das_kt@external.swiggy.in on Mar 17, 2022, 02:21 PM",
,
Missing item,
,
It is smelling bad...not good in taste... unexpected taste,
,
Momo was triple spicy.. it wasn't eatable,
,
and momos are salty too..i couldn't serve those to guest,
,
items missing,
,
yuck?? not Good,
,
items missing,
,
yuck?? not Good,
,
and momos are salty too..i couldn't serve those to guest,
,
over spicy and not able to eat,
,
"5 star review veggie steam mono very testy and fresh food and fast service .........................,.",
,
Received only 5 momos instead of 6,
,
"Excellent....................................................... ..........,..............................",
,
package open,
,
Grat Exprience at her. Paneer steem momo with gajab test. Keep it up team. Thnks for good service.. Loved it brands,
,
"I ordered Veg Supreme Steamed Momo from this restaurant, taste is so nice  . Highly recommend to try the taste. Packaging is done properly...",
,
"Chicken Tandoori Momo Very tasty which I did order yesterday in evening from this restaurant, and I am glad to I ordered it from here because it's very tasty in this restaurant.",
,
"Very much good in the taste of Corn &amp; Cheese Chilli Momo, of this restaurant it's more delicious and best in the quality.. So must taste.",
,
"Totally awesome taste , first time I've tried Corn &amp; Cheese Pan Fried Momo  from this restaurant and at this first time I'm very happy about the taste.",
,
order is opened ....unpacked,
,
"It was a gift, apparently the message wasn’t delivered. Just Sad!",
,
order is opened ....unpacked,
,
"Chicken Tandoori Momo Very tasty which I did order yesterday in evening from this restaurant, and I am glad to I ordered it from here because it's very tasty in this restaurant.",
,
"I ordered Veg Supreme Steamed Momo from this restaurant, taste is so nice  . Highly recommend to try the taste. Packaging is done properly...",
,
"Totally awesome taste , first time I've tried Corn &amp; Cheese Pan Fried Momo  from this restaurant and at this first time I'm very happy about the taste.",
,
"Very much good in the taste of Corn &amp; Cheese Chilli Momo, of this restaurant it's more delicious and best in the quality.. So must taste.",
,
package open,
,
Grat Exprience at her. Paneer steem momo with gajab test. Keep it up team. Thnks for good service.. Loved it brands,
,
over spicy and not able to eat,
,
It doesn’t taste like Tandoori momo.. Too spicy,
,
V Good in qty but qty is less,
,
Not upto the mark,
,
delivery boy is smart,
,
bad experience,
,
Not upto the mark,
,
V Good in qty but qty is less,
,
delivery boy is smart,
,
It doesn’t taste like Tandoori momo.. Too spicy,
,
"It was a gift, apparently the message wasn’t delivered. Just Sad!",
,
the delivery person was very warm and sweet.,
,
Wow! Momo which is good but today the momos has not reached the brand mark. Very disappointed,
,
Chocalalte momo is very nice and fried momos and sizzlers momos also and packings good and good experience,
,
wow !! wat a offer worth,
,
too good,
,
worst food. spoiled momos they are serving. once I thought ok second time also received same  also too spicy can't eat only. simply giving so much money and spoiling health. normal people can't eat that. we throwned all.,
,
wow !! wat a offer worth,
,
Chocalalte momo is very nice and fried momos and sizzlers momos also and packings good and good experience,
,
Wow! Momo which is good but today the momos has not reached the brand mark. Very disappointed,
,
"very bad experience  very cold, no stuffs at all in momo and momo inside burger was burnt",
,
no chutney,
,
momos aren't well cooked,
,
very good delivery ??,
,
Item was stale. Such poor quality service is not expected from Wow momo. Disheartening.,
,
"Stuff chicken was very dry, tasteless. Momos were not fresh",
,
"very bad experience  very cold, no stuffs at all in momo and momo inside burger was burnt",
,
no chutney,
,
"Stuff chicken was very dry, tasteless. Momos were not fresh",
,
Item was stale. Such poor quality service is not expected from Wow momo. Disheartening.,
,
momos aren't well cooked,
,
too good,
,
the delivery person was very warm and sweet.,
,
bad experience,
,
great,
,
When i ordered first time and it was so tasty that i came again and this is my second time in wow momos prabhadevi. Thanks to team of wow momos.,
,
the steam momos is old n it is spoiled,
,
chicken is dry layer of momos is to hard,
,
good.,
,
food is cold otherwise ok,
,
"due to late delivery food is soggy and cold, waste of money",
,
worst taste ever,
,
it was way too spicy. only if they could lower the spice level a little.,
,
it's over spicy. too much chillies,
,
Everytime we face this issue from Wow momo. Very dissapointed as it was always my faviourte go to snack place but with this kind of cheap act everytime not sending sauce or else sending wrong order am done with Wow momo,
,
the delivery man took the order with him? the most pathetic disgusting service I have received so far on Zomato is from this restaurant? you don't even know how to cater customer,
,
Ordered 7up can is missing.,
,
good  food,
,
The food was burnt,
,
he was a humble and delivered my order this very late...thank you  ..zomato,
,
"This time Wow! Momo scammed me, they took 40/- extra without our permission for cheese sizzler but after it was served not a pinch of cheese ?? was visible, it doesn't matter. The Moburg they served were totally cold ?? Please improve these kind of things.",
,
spillage of chutney all over food,
,
it was way too spicy. only if they could lower the spice level a little.,
,
food is cold otherwise ok,
,
"Issue created by madhulika.gautam_dgt@external.swiggy.in on Mar 26, 2022, 10:16 PM",
,
Sauce missing,
,
Budweiser is missing,
,
Chutney/sauce not received,
,
"I received steam momo,but nothing else ",
,
Steam momo and chutney are spoiled and uncooked,
,
This is not Darjeeling momo and the condiment is missing,
,
I ordered one veg momo and one paneer momo.. Got delivered and both is corn and cheese,
,
"One momo pack and burger nonveg was missing ,only 2 pack of veg came",
,
I received only 1 order<br/>I ordered 2,
,
I have ordered buy1 get1,
,
One order missing,
,
The momos were supposed to come with a red sauce which is missing.,
,
We ordered chicken Darjeeling pan fried but we received chicken chilli momos. It was too spicy and not the one which we have ordered. No one could completely eat this as it also looked like something done in a hurry.,
,
"Issue created by saurav.sharma1_tm@external.swiggy.in on Mar 26, 2022, 07:29 PM",
,
Tastelessness and bad disappointedly with dish,
,
"Issue created by saiteja.bandari_cb@external.swiggy.in on Mar 22, 2022, 09:11 AM",
,
"I should have received 8 burgers in total, 4 packets of momos and 8 cold drinks but i haven't got 2 set",
,
It's smelling badly they jus made it hot n sent me,
,
One item is missing,
,
I received the food totally cold,
,
The momos were broken and that's why there filling spilled out,
,
We are vegetarian,
,
cold food received,
,
"Issue created by ayushika.pri00290_pr@external.swiggy.in on Mar 25, 2022, 06:59 AM",
,
The packaging was not strong enough. The burger had become soggy because the colddrink was kept abovit and it spoiled it,
,
Extremely spicy,
,
I had ordered paneer manchurian and I have received paneer in gravy. Lol. Also it is too salty.,
,
Burger was burnt and momo was too spicy although before order I gave instruction it shoul be non spicy,
,
"The momos are hard and it seems stale , also uncooked and stinking",
,
One of the piece was Schezwan Fried Momo,
,
"Issue created by puja.g_kt@external.swiggy.in on Mar 25, 2022, 03:50 PM",
,
I received only one item,
,
The package had a hole due to spillage moreover the food was not hot as the order was an hour late,
,
2 burger were missing,
,
Both the burger are completely burnt,
,
"Issue created by swati.sharma1_tm@external.swiggy.in on Mar 26, 2022, 02:51 PM",
,
Miss,
,
I only got 5 momos,
,
I haven't received any dip for the chicken stemmed momo which I had ordered... I should have received red & green chutney which is missing,
,
"I have ordered 3items, but one of the item is missing in the order.very disappointed ",
,
Item missing,
,
"I asked for corn and cheese butter momo but out of 5 momos, few are just veg momos and not corn and cheese",
,
"Received burnt food, can't have it.",
,
Pepsi is missing,
,
They have given sezwan instead of cheese chicken,
,
2 pepsi are there instead of 4,
,
"Not properly packed, entire butter and cream has spilled",
,
2 pepsi missing,
,
I received 2 packets of darkening steam chicken momo instead of chicken cheese steam momo,
,
"Issue created by rahul.54110_kt@external.swiggy.in on Mar 27, 2022, 01:07 PM",
,
"Very bad, your restaurant send me completely stale food, this is really unexpected",
,
"Issue created by mohd.shahbaz_dit@external.swiggy.in on Mar 27, 2022, 02:43 PM",
,
In place steemef i received fried,
,
"The food is stale, stinking",
,
Whole order was spilled in the packet. Please do something. At this point if the day during my work im receiving these orders.,
,
Cheese dip and 5 piece momos was missing,
,
4 Pepsi bottle not delivered,
,
Worst packaging. Entire sauce was outside the packaging,
,
Did not receive the full order.,
,
Both the burger are completely burnt,
,
The sosages are missing,
,
2 moburgers are missing,
,
The burgers are not fresh. It's stale. Doesn't taste good.,
,
Package is torned completely.. food coming out,
,
The entire order was spilled<br/>,
,
"Issue created by satyam.tiwari2_fs@external.swiggy.in on Mar 23, 2022, 09:21 AM",
,
"Issue created by arun.pillai1_cb@external.swiggy.in on Mar 24, 2022, 01:56 PM",
,
"Issue created by moinuddin.abdul_cb@external.swiggy.in on Mar 21, 2022, 02:50 PM",
,
The momos are smelling and can?t eat it,
,
"Issue created by mohd.sanover_bpoc@external.swiggy.in on Mar 26, 2022, 09:06 AM",
,
"Momos and burgers are totally cold. <br/>Feeling like eating a ice cream, please help",
,
Chicken moburg and Pepsi each 1 is missing,
,
All other items ordered is there. But veg steam momo is Missing,
,
I have ordered veg and i got non veg items,
,
We ordered 2 combos of chicken chilli momo.. But we recived only 1 combo.. The other combo is missing..,
,
Too too spicy,
,
I have got 10 momos only,
,
Hi Rishabh. Just now 2 cheese burger delivered to me. But without cheese.,
,
"due to late delivery food is soggy and cold, waste of money",
,
good.,
,
the steam momos is old n it is spoiled,
,
When i ordered first time and it was so tasty that i came again and this is my second time in wow momos prabhadevi. Thanks to team of wow momos.,
,
great,
,
chicken is dry layer of momos is to hard,
,
he was a humble and delivered my order this very late...thank you  ..zomato,
,
the delivery man took the order with him? the most pathetic disgusting service I have received so far on Zomato is from this restaurant? you don't even know how to cater customer,
,
The food was burnt,
,
Ordered 7up can is missing.,
,
Everytime we face this issue from Wow momo. Very dissapointed as it was always my faviourte go to snack place but with this kind of cheap act everytime not sending sauce or else sending wrong order am done with Wow momo,
,
good  food,
,
